brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure

比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e33ad9ed8d9749a28fed202afadcd900~tplv-resize:640:0.png,56156,"[6.98, 8.58]",比亚迪,1,小型车,纯电动,2024.08,6年或15万公里
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,44576,"[24.99, 35.49]",特斯拉中国,2,中型SUV,纯电动,2024.02,4年或8万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,34777,"[3.28, 9.99]",上汽通用五菱,3,微型车,纯电动,2024.08,3年或12万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5e4b9f17cfaf457cadcbbcec5a0736b8~tplv-resize:640:0.png,33948,"[9.68, 13.68]",比亚迪,4,中型车,插电式混合动力,2024.05,6年或15万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ecc4bc88c3f146dca8180b4932f217b7~tplv-resize:640:0.png,32977,"[7.26, 13.99]",东风日产,5,紧凑型车,汽油,2024.10,3年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ac798c1f36aa4d3fa143506e3a050852~tplv-resize:640:0.png,32125,"[7.4, 11.89]",上汽大众,6,紧凑型车,汽油,2024.10,3年或10万公里
比亚迪,海豹06,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e65fdc8293d04063bc07ed05198a2c83~tplv-resize:640:0.png,29465,"[9.68, 13.68]",比亚迪,7,中型车,插电式混合动力,2024.05,6年或15万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0824d2c3a2fc4de0a84e86eaa93a5745~tplv-resize:640:0.png,28914,"[23.19, 33.59]",特斯拉中国,8,中型车,纯电动,2024.04,4年或8万公里
五菱汽车,五菱缤果,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8a82589d0fbf4119a29b97b77dc96d62~tplv-resize:640:0.png,26808,"[5.68, 8.88]",上汽通用五菱,9,小型车,纯电动,2024.06,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,26400,"[11.68, 14.48]",比亚迪,10,紧凑型SUV,纯电动,2024.03,6年或15万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,24869,"[7.68, 12.58]",比亚迪,11,紧凑型车,插电式混合动力,2024.02,6年或15万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29f9c5cbc4954233a41d36cad31dc4a5~tplv-resize:640:0.png,24667,"[12.22, 17.02]",吉利汽车,12,紧凑型SUV,汽油,2024.10,4年或10万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,24318,"[24.98, 27.98]",理想汽车,13,中大型SUV,增程式,2024.04,5年或10万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png,23300,"[14.79, 22.39]",上汽大众,14,中型车,汽油,2024.09,3年或10万公里
比亚迪,宋L DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6dfaee65baf84590a77bc404502b8332~tplv-resize:640:0.png,23230,"[13.28, 17.28]",比亚迪,15,中型SUV,插电式混合动力,2024.07,6年或15万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a507b6ec14c4ead9c95c336893aa9d2~tplv-resize:640:0.png,23156,"[21.59, 29.99]",小米汽车,16,中大型车,纯电动,2024.03,5年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png,22942,"[9.99, 13.99]",长安汽车,17,紧凑型SUV,汽油,2024.09,3年或10万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,22601,"[13.28, 17.28]",比亚迪,18,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,21767,"[8.29, 12.79]",一汽-大众,19,紧凑型车,汽油,2024.10,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d021bb41298c4273b67003fdef0e146b~tplv-resize:640:0.png,21556,"[8.99, 15.99]",奇瑞汽车,20,中型SUV,汽油,2024.09,3年或10万公里
